,feature,shap_value
0,stp,0.02385
1,low_close,-0.021
2,macd_above_signal,0.020999999999999998
3,hour_5,-0.0171
4,qty,0.0165
5,hour_0,0.0127
6,below_projection,0.0123
7,major_uptrend,0.0111
8,high_sellers,0.0091
9,major_downtrend,-0.0056
10,above_average_volume,-0.0027
11,volatility_low,-0.0027
12,above_projection,-0.0021
13,high_buyers,0.002
14,hour_1,0.0013
15,low_rsi,0.0006
16,hour_4,-0.0005
17,volatility_high,0.0003
18,mini_uptrend,
19,below_average_volume,
20,hour_2,
21,hour_3,
22,high_rsi,
23,high_close,
24,pred,
